"Add New Category","Створити нову категорію"
"Auto Triger Padding (px)","Auto Triger Padding (px)"
Author,Author
"Display Author Information","Показувати інформацію про автора"
"Display Background List By Author","Увімкнути список публікацій по автору"
Sidebar,"Бічна панель"
"Search Form Widget","Віджет форми пошуку"
"Categories Widget","Віджет категорій"
"Recent Backgrounds Widget","Віджет останніх публікацій"
"Backgrounds Number","Кількість публікацій"
"Archive Widget","Фіджет архіву"
"Tag Claud Widget","Фіджет хмаринки тегів"
"Rss Feed","Rss Feed"
"Feed Title","Назва фіда"
"Feed Description","Опис фіда"
"Product Page","Сторінка продукту"
"Permalink Settings","Налаштування постійних (красивих) посилань"
"Background Route","Маршрут блогу"
"Permalink Type","Вид постійних посилань"
"Background Route","Маршрут публікації"
"Category Route","Маршрут категорії"
"Archive Route","Маршрут архіву"
"Tag Route","Маршрут тегів"
"Author Route","Маршрут автора"
"Search Route","Маршрут пошуку"
Social,Соціалки
"AddThis Enabled","Включити AddThis Share кнопки"
"AddThis ID","Ваш AddThis ID"
"AddThis Language","Мова для AddThis"
"Category Top Navigation","Верхнє меню категорій"
"Display Background Link","Показувати посилання на сторінку блогу"
"Background Category","Категорія блогу"
"Leave blank to display backgrounds from all categories.","Залиште порожнім щоб показувати публікації з усіх категорій."
"Custom Template","Шаблон"
Published,Опубліковано
"Category Information","Інформація про категорію"
"Enable Category","Увімкнути категорію"
"Category Title","Назва категорії"
"Category in Websites","Категорія на Веб-сайтах"
"-- Please Select --","-- Будь ласка оберіть --"
"Tag Title","Назва тегу"
"Background Information","Інформація про публікацію"
"Enable Background","Увімкнути публікацію"
"Background Title","Назва публікації"
"New Category","Нова категорія"
"Additional Options","Додаткові налаштування"
"Featured Image","Малюнок публікації"
"Publish Date","Дата публікації"
"New Tag","Новий тег"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Title"
"Leave blank to use Meta Title by default.","Залиште порожнім щоб використовувати Meta Title натомість."
"OG Description","OG Description"
"Leave blank to use Meta Description by default.","Залиште порожнім щоб використовувати Meta Description натомість."
"OG Image","OG Image"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Залиште порожнім щоб використовувати малюнок публікації. Дозволені типи файлів: jpg, jpeg, gif, png."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Залиште порожнім щоб використовувати ""article"" тип за замовчуванням."
"Background in Websites","Публікація на Веб-сайтах"
"Related Backgrounds and Products","Пов'язані публікації та продукти"
"Related backgrounds are shown to customers in addition to the item the customer is looking at.","Пов'язані публікації показуються користувачу на додаток до тої, яку він переглядає."
"Add Related Background","Додати пов'язану публікацію"
"Add Related Backgrounds","Додати пов'язані публікації"
"Add Selected Backgrounds","Додати обрані публікації"
"January","Cічень"
"February","Лютий"
"March","Березень"
"April","Квітень"
"May","Травень"
"June","Червень"
"July","Липень"
"August","Серпень"
"September","Вересень"
"October","Жовтень"
"November","Листопад"
"December","Грудень"
"Jan","Січ."
"Feb","Лют."
"Mar","Бер."
"Apr","Кві."
"May","Тра."
"Jun","Чер."
"Jul","Лип."
"Aug","Сер."
"Sep","Вер."
"Oct","Жов."
"Nov","Лис."
"Dec","Гру."
