Add New Category,Adicionar Nova Categoria
&larr; Previous,&larr; Anterior
Next &rarr;,Próximo &rarr;
Related Sizes,Sizes Relacionados
Archive,Arquivo
Archive %s,Arquivo %s
Recent Sizes,Sizes Recentes
RSS Feed,Feed RSS
Search sizes here...,Procure sizes aqui…
Tags,Tags
Designnbuy Extensions,Extensões da Designnbuy
Sheet Information,Informações do Sheet
Sheet Index Page,Página Index do Sheet
Size View,Visualização do Size
Display Related Sizes,Mostrar Sizes Relacionados
Number of Sizes,Número de Sizes
Display Related Products,Mostrar Produtos Relacionados
Number of Products,Número de Produtos
Comments,Comentários
Number of Comments,Número de Comentários
Facebook Application ID,ID da Aplicação Facebook
Preview and Next Size,Size Anterior e Próximo
Display Prev. & Next Size Links,Mostrar Links Ant. & Próx. Nos Sizes
Size List,Lista de Sizes
Sizes Per Page,Sizes Por Página
Use Lazy Loading,Usar Lazy Loading
Automatically load more sizes on page.,Carrega mais sizes na página automaticamente.
Auto Triger Padding (px),Ativar Padding Automaticamente (px)
Author,Autor
Display Author Information,Mostras Informações do Autor
Display Size List By Author,Mostrar a Lista de Sizes por Autor
Sidebar,Barra Lateral
Search Form Widget,Widget Formulário de Busca
Categories Widget,Widget Categorias
Recent Sizes Widget,Widget Sizes Recentes
Sizes Number,Número dos Sizes
Archive Widget,Widget Arquivo
Tag Claud Widget,Widget Nuvem de Tags
Rss Feed,Feed RSS
Feed Title,Título do Feed
Feed Description,Descrição do Feed
Product Page,Página do Produto
Permalink Settings,Configurações do Permalink
Sheet Route,Rota do Sheet
Permalink Type,Tipo do Permalink
Size Route,Rota do Size
Category Route,Rota da Categoria
Archive Route,Rota do Arquivo
Tag Route,Rota da Tag
Author Route,Rota do Autor
Search Route,Rota da Busca
Social,Social
AddThis Enabled,Ativar AddThis
AddThis ID,ID do AddThis
AddThis Language,Idioma do AddThis
Category Top Navigation,Navegação Superior da Categoria
Display Sheet Link,Mostrar Link do Sheet
Sheet Category,Categoria do Sheet
Leave blank to display sizes from all categories.,Deixe em branco para mostrar sizes de todas as categorias.
Custom Template,Template Personalizado
Published,Publicado
Category Information,Informações da Categoria
Enable Category,Ativar Categoria
Category Title,Título da Categoria
Category in Websites,Categoria em Websites
-- Please Select --,-- Selecione --
Tag Title,Título da Tag
Size Information,Informações do Size
Enable Size,Ativar Size
Size Title,Título do Size
New Category,Nova Categoria
Additional Options,Opções Adicionais
Featured Image,Imagem Destaque
Publish Date,Data de Publicação
New Tag,Nova Tag
Open Graph Metadata,Metadata do Open Graph
OG Title,Título do OG
Leave blank to use Meta Title by default.,Deixa em branco para usar os metadados por padrão.
OG Description,Descrição do OG
Leave blank to use Meta Description by default.,Deixa em branco para usar os metadados por padrão.
OG Image,Imagem do OG
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Deixe em branco para usar a Imagem Destaque por padrão. Formatos permitidos de imagem: jpg, jpeg, gif, png."
OG Type,Tipo do OG
"Leave blank to use ""article"" type by default.",Deixe em branco para usar “artigo” como tipo padrão.
Size in Websites,Size em Websites
Related Sizes and Products,Sizes e Produtos Relacionados
Related sizes are shown to customers in addition to the item the customer is looking at.,"Sizes relacionados são mostrados ao consumidor, além do produto que ele está visualizando."
Add Related Size,Adicionar Size Relacionado
Add Related Sizes,Adicionar Sizes Relacionados
Add Selected Sizes,Adicionar Sizes Selecionados
January,Janeiro
February,Fevereiro
March,Março
April,Abril
May,Maio
June,Junho
July,Julho
August,Agosto
September,Setembro
October,Outubro
November,Novembro
December,Dezembro
Jan,Jan
Feb,Fev
Mar,Mar
Apr,Abr
May,Mai
Jun,Jun
Jul,Jul
Aug,Ago
Sep,Set
Oct,Out
Nov,Nov
Dec,Dez
Read more >,Leia mais >
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Sizes","Import Sizes"
"Import from aheadWorks Sheet Extension","Import from aheadWorks Sheet Extension"
"Import from Joomla","Import from Joomla"
"Import from Sheetger.com","Import from Sheetger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
