"Add New Category","Добавить новую категорию"
"Related sizes are shown to customers in addition to the item the customer is looking at.","Подходящие записи показываются посетителям в дополнение к товарам которые видит посетитель."
"Add Related Size","Добавить подходящую запись"
"Add Related Sizes","Добавить подходящие записи"
"Add Selected Sizes","Добавить выбранные записи"
"January","Январь"
"February","Февраль"
"March","Март"
"April","Апрель"
"May","май"
"June","Июнь"
"July","Июль"
"August","Август"
"September","Сентябрь"
"October","Октябрь"
"November","Ноябрь"
"December","Декабрь"
"Jan","янв"
"Feb","фев"
"Mar","мар"
"Apr","апр"
"May","май"
"Jun","июн"
"Jul","июл"
"Aug","авг"
"Sep","сен"
"Oct","окт"
"Nov","ноя"
"Dec","дек"
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Sizes","Import Sizes"
"Import from aheadWorks Sheet Extension","Import from aheadWorks Sheet Extension"
"Import from Joomla","Import from Joomla"
"Import from Sheetger.com","Import from Sheetger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Add a comment...","Добавить коментарий"
"Sign in to add a comment...","Войдите чтобы оставить комментарий..."
"Sign In","Войдите"
"Full Name","Имя"
"%1 Comment(s)","%1 Комментарий(ев)"
"Comments:","Комментарии"
"You submitted your comment for moderation.","Вы отправили свой комментарий для модерации."
"Thank you for your comment.","Спасибо за ваш комментарий."
"Reply","Ответить"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
